id;callsign;airline_iata;airline_icao;origin;destination;aircraft_code;registration;latitude;longitude;altitude;ground_speed;heading;vertical_speed;on_ground;squawk;time
3a3e4634;HBAL732;;;;;BALL;N257TH;40.3864;-106.2677;61800;1;270;0;0;;1752261339
3a9f267b;RPT1;;;;;GLID;RPT-1;-33.3778;-70.5791;2312;3;201;192;0;;1752261340
3a9f26a5;LILC;;;;;GRND;;45.808;8.7722;803;0;271;0;0;;1752261329
3a9f26d1;EGC194;;;;;GLID;EGC19-4;36.917;-4.6832;1397;2;322;0;0;;1752261339
3b0eacaf;HBAL756;;;;;BALL;N256TH;42.1371;-102.0018;56900;5;90;0;0;;1752261338
3b1bac39;CCTR21;;;;;GLID;CC-TR21;-33.3779;-70.5792;2296;10;69;192;0;;1752261340
3b2cd949;TEST;;;;;GLID;TEST;50.4239;9.1987;990;1;271;0;0;;1752261334
3b2ea4d6;VTRIB;;;;;P208;VT-RIB;18.2044;74.6237;2900;69;23;-192;0;;1752261339
3b2ee049;VTRBD;;;;;P208;VT-RBD;18.2357;74.5572;2800;59;261;-64;0;;1752261327
3b2ef542;FDX1803;FX;FDX;ONT;OAK;B763;N268FE;37.7205;-122.2148;0;0;180;0;1;;1752261339
3b302fc7;CFEUS;;;;;C172;C-FEUS;43.4426;-79.8512;590;3;89;0;0;;1752261332
3b303616;FCKSB;;;;;GLID;F-CKSB;39.6176;-3.2187;2194;5;271;0;0;;1752261299
3b31f83a;N851LA;;;;;AT5T;N851LA;39.8098;-90.0845;925;112;252;0;0;;1752261336
3b32b2d7;N392LA;;;;;AT6T;N392LA;39.6233;-89.497;1000;139;342;-4928;0;;1752261264
3b32e5e1;;;;;;0000;00000000;40.6318;26.1847;16025;96;338;3392;0;;1752261335
3b32edb2;SIA23;SQ;SIA;JFK;SIN;A359;9V-SGA;12.7912;98.2744;41000;468;133;0;0;;1752261339
3b32fc59;ANZ1;NZ;ANZ;JFK;AKL;B789;ZK-NZL;-33.0257;177.3982;39975;449;207;0;0;;1752261339
3b330d7a;N595GL;;;;;DV20;N595GL;42.6411;-83.9766;1925;94;308;-128;0;;1752261339
3b330f72;AIC180;AI;AIC;SFO;CCU;B77L;VT-AEI;22.6473;88.442;0;23;5;0;1;;1752261324
3b331f2b;QFA8;QF;QFA;DFW;SYD;B789;VH-ZNF;-29.369;158.4662;40000;414;226;0;0;;1752261337
3b332118;CPA875;CX;CPA;DFW;HKG;A35K;B-LXG;22.2991;115.9826;29050;462;268;-1472;0;;1752261325
3b3327d5;SIA24;SQ;SIA;SIN;JFK;A359;9V-SGG;47.3543;-108.7189;41000;524;98;0;0;;1752261339
3b332918;UAE3U;EK;UAE;DXB;ORD;B77W;A6-EQL;47.5619;-79.7065;36000;472;221;0;0;;1752261339
3b333143;QFA3;QF;QFA;AKL;JFK;B789;VH-ZNE;41.9861;-82.9578;40975;517;90;0;0;;1752261338
3b333299;N553CP;;;;;H500;N553CP;40.0024;-82.9892;1225;63;194;192;0;;1752261338
3b3335f9;VOZ001;VA;QTR;SYD;DOH;B77W;A7-BEO;25.266;51.6028;0;16;157;0;1;;1752261336
3b333615;QTR85Q;QR;QTR;DOH;SFO;A35K;A7-ANO;38.0803;-122.6677;17600;376;181;-1664;0;;1752261339
3b333873;LAN805;LA;LAN;SCL;MEL;B789;CC-BGH;-37.6676;144.8434;0;1;70;0;1;;1752261302
3b33397c;KAL921;KE;KAL;ICN;LIS;B789;HL8083;38.9718;-9.0311;3975;184;218;-384;0;;1752261339
3b333a53;KAL086;KE;KAL;JFK;ICN;B77W;HL8347;37.4613;126.4373;0;0;42;0;1;;1752261297
3b333e27;CPA806;CX;CPA;HKG;ORD;A35K;B-LXO;41.9227;-87.7561;6475;284;101;-768;0;;1752261339
3b333f5c;QTR52X;QR;QTR;DOH;LAX;A35K;A7-ANJ;40.147;-119.3587;39000;494;183;0;0;;1752261339
3b33400d;QTR2W;QR;QTR;DOH;ATL;A35K;A7-ANB;33.6649;-83.946;5925;226;239;-1536;0;;1752261338
3b3342fb;QTR59B;QR;QTR;DOH;ORD;B77W;A7-BED;41.9702;-87.8943;0;7;275;0;1;;1752261338
3b3343d9;SIA33;SQ;SIA;SFO;SIN;A359;9V-SGF;5.1231;114.0618;40000;535;251;0;0;;1752261339
3b3344c2;VOZ015;VA;QTR;BNE;DOH;B77W;A7-BAM;23.0069;57.2959;38000;516;297;0;0;;1752261338
3b3346d1;QTR65L;QR;QTR;DOH;SEA;B77W;A7-BEN;47.4539;-122.318;0;92;1;-64;1;;1752261339
3b334786;QTR62G;QR;QTR;DOH;MIA;A35K;A7-AND;27.3136;-77.8459;34000;503;266;0;0;;1752261339
3b334a0b;QFA74;QF;QFA;SFO;SYD;B789;VH-ZNH;-30.3587;156.0356;41000;429;218;-64;0;;1752261338
3b334a68;QTR5V;QR;QTR;DOH;IAH;A35K;A7-ANH;39.1688;-91.3462;40000;464;229;0;0;;1752261339
3b334bf6;KLM862;KL;KLM;NRT;AMS;B772;PH-BQD;51.372;9.8918;38000;483;296;0;0;;1752261339
3b334ca9;QTR48R;QR;QTR;DOH;DFW;A35K;A7-ANM;38.6166;-91.8014;40000;470;233;0;0;;1752261339
3b334d42;CHH729;HU;CHH;PEK;BOS;B789;B-207U;46.396;-77.9984;37000;508;122;0;0;;1752261339
3b334e39;QTR61R;QR;QTR;DOH;IAD;B77W;A7-BEW;38.9492;-77.4465;0;0;222;0;1;;1752261335
3b334e5f;QFA21;QF;QFA;MEL;DFW;B789;VH-ZNL;27.3367;-109.2794;38975;460;54;64;0;;1752261339
3b334eac;A332;;;;;A332;;57.6436;-169.0978;41000;491;62;0;0;;1752261338
3b334eb5;QTR6F;QR;QTR;DOH;JFK;B77W;A7-BEJ;40.6483;-73.7918;0;0;149;0;1;;1752261333
3b334fb6;UAE261;EK;UAE;DXB;GRU;A388;A6-EVM;-21.3749;-41.2696;40000;457;242;0;0;;1752261339
3b334fe3;QFA16;QF;QFA;LAX;BNE;A332;VH-EBO;-25.5995;154.7197;40000;396;220;0;0;;1752261339
3b33513e;CAL011;CI;CAL;JFK;TPE;B77W;B-18005;31.9823;131.0011;38000;475;231;0;0;;1752261338
3b33529f;CSN312;CZ;CSN;YYZ;CAN;B77W;B-7185;33.4496;114.739;36100;496;185;0;0;;1752261316
3b33535a;AAR223;OZ;AAR;JFK;ICN;A388;HL7625;37.4887;127.3823;14625;387;258;-1600;0;;1752261339
3b335475;UAE51N;EK;UAE;DXB;SFO;A388;A6-EOD;47.8792;-123.4444;39000;477;178;0;0;;1752261338
3b3357ae;ETD1SA;EY;ETD;SYD;AUH;B789;A6-BLV;23.0354;56.5118;37950;514;273;-640;0;;1752261339
3b3357b4;ETD19G;EY;ETD;AUH;IAD;B789;A6-BNG;39.4198;-77.4365;7575;287;185;-1856;0;;1752261339
3b3358d3;DAL41;DL;DAL;LAX;SYD;A359;N517DZ;-30.1679;158.3945;41000;426;226;0;0;;1752261337
3b335936;ETD13;EY;ETD;AUH;ATL;A35K;A6-XWE;38.5271;-80.8176;38000;494;183;-64;0;;1752261339
3b335975;UAE83M;EK;UAE;DXB;LAX;A388;A6-EVF;47.0176;-119.9431;41000;489;178;0;0;;1752261339
3b335a28;EVA035;BR;EVA;YYZ;TPE;B77W;B-16726;28.8713;126.4461;34000;461;229;0;0;;1752261339
3b335af0;QTR773;QR;QTR;DOH;GRU;B77W;A7-BAA;-22.8675;-44.6405;35975;466;244;-448;0;;1752261338
3b335bbc;EVA055;BR;EVA;ORD;TPE;B77W;B-16723;28.4005;125.7982;36000;467;230;0;0;;1752261339
3b335be0;HVN99;VN;HVN;SFO;SGN;A359;VN-A890;17.7036;116.1393;43000;510;235;0;0;;1752261337
3b335c8c;UAL839;UA;UAL;LAX;SYD;B789;N25982;-27.6295;160.288;38000;426;215;0;0;;1752261337
3b335d05;ACA33;AC;ACA;YVR;SYD;B77L;C-FNND;-25.8067;156.7949;34000;437;211;0;0;;1752261336
3b335dc7;CPA829;CX;CPA;YYZ;HKG;A35K;B-LXQ;28.8781;113.7509;40100;486;178;0;0;;1752261339
3b335ebd;CPA811;CX;CPA;BOS;HKG;A35K;B-LXF;31.0816;114.4705;40100;493;196;0;0;;1752261316
3b335f87;UAL1;UA;UAL;SFO;SIN;B789;N26966;13.592;121.4687;40000;506;230;-64;0;;1752261339
3b33606a;RAM231;AT;RAM;PKX;CMN;B789;CN-RGY;33.6393;-6.8283;14825;411;217;-3328;0;;1752261338
3b336083;CPA253;CX;CPA;HKG;LHR;B77W;B-KPD;51.4732;-0.4656;0;0;90;0;1;;1752261328
3b33617a;UAL863;UA;UAL;SFO;SYD;B772;N78002;-27.9563;160.0335;37000;406;215;0;0;;1752261337
3b336232;ETD11B;EY;ETD;AUH;JFK;B789;A6-BLD;40.6388;-73.771;0;1;320;0;1;;1752261335
3b336360;DKBGJ;;;;;GLID;D-KBGJ;48.6857;10.1264;1853;1;89;0;0;;1752261323
3b3363d7;ANA159;NH;ANA;JFK;HND;B77W;JA793A;35.4385;139.8513;1625;169;354;-1216;0;;1752261339
3b336532;UAL917;UA;UAL;SFO;AKL;B772;N79011;-37.0074;174.7816;0;0;109;0;1;;1752261296
3b336544;SVA037;SV;SVA;RUH;IAD;B77W;HZ-AK41;39.1255;-77.4571;3100;206;180;-1152;0;;1752261339
3b336630;EVA031;BR;EVA;JFK;TPE;B77W;B-16721;35.3893;135.4646;36000;524;223;-64;0;;1752261339
3b33687d;CPA843;CX;CPA;JFK;HKG;A35K;B-LXA;34.6888;114.8603;40100;492;184;0;0;;1752261330
3b336c58;DAL120;DL;DAL;HND;MSP;A359;N514DN;44.881;-93.2112;0;0;50;0;1;;1752261335
3b336c69;UAE1Y;EK;UAE;DXB;IAH;A388;A6-EUL;45.3887;-84.6306;38000;467;215;0;0;;1752261339
